transaction_id,customer_id,amount,payment_method,product_category,customer_age,discount_rate,store_region
tx_ref_200000,usr_6568,692.8,Credit Card,Digital Goods,18.8,0.29,North
tx_ref_200001,usr_5444,1963.68,Credit Card,Home & Kitchen,18.6,0.18,South
tx_ref_200002,usr_5965,2235.29,Credit Card,Apparel,44.7,0.03,East
tx_ref_200003,usr_1481,743.56,Credit Card,Home & Kitchen,29.6,0.14,North
tx_ref_200004,usr_6832,364.96,Credit Card,Apparel,31.4,0.06,East
tx_ref_200005,usr_1225,3082.49,UPI,Electronics,34.5,0.23,North
tx_ref_200006,usr_3523,274.34,UPI,Electronics,43.1,0.12,North
tx_ref_200007,usr_8583,2588.86,UPI,Electronics,21.9,0.07,North
tx_ref_200008,usr_1217,1499.94,UPI,Home & Kitchen,26.7,0.17,South
tx_ref_200009,usr_1947,3479.39,UPI,Apparel,32.1,0.02,East
tx_ref_200010,usr_8696,2755.46,Debit Card,Home & Kitchen,23.7,0.01,East
tx_ref_200011,usr_7125,260.97,Credit Card,Home & Kitchen,39.1,0.25,North
tx_ref_200012,usr_6749,298.66,Credit Card,Electronics,25.0,0.16,North
tx_ref_200013,usr_1776,3093.72,Credit Card,Home & Kitchen,36.2,0.27,East
tx_ref_200014,usr_7792,1038.54,Cash,Electronics,29.0,0.24,West
tx_ref_200015,usr_1176,5639.7,UPI,Apparel,23.2,0.14,East
tx_ref_200016,usr_2605,68.83,UPI,Apparel,40.4,0.01,North
tx_ref_200017,usr_2602,1588.86,UPI,Electronics,41.4,0.0,South
tx_ref_200018,usr_7155,250.1,Credit Card,Apparel,30.3,0.01,South
tx_ref_200019,usr_1011,6349.56,Credit Card,Apparel,39.2,0.29,East
tx_ref_200020,usr_2173,353.43,Debit Card,Electronics,28.3,0.19,North
tx_ref_200021,usr_1983,960.95,UPI,Electronics,40.3,0.07,North
tx_ref_200022,usr_5324,654.39,UPI,Electronics,37.9,0.08,South
tx_ref_200023,usr_5858,2193.58,Debit Card,Home & Kitchen,26.1,0.04,East
tx_ref_200024,usr_4558,213.54,UPI,Electronics,31.7,0.09,North
tx_ref_200025,usr_2330,12748.39,UPI,Apparel,19.4,0.29,North
tx_ref_200026,usr_3366,505.46,Credit Card,Home & Kitchen,,0.11,South
tx_ref_200027,usr_7471,1650.41,UPI,Electronics,51.0,0.16,South
tx_ref_200028,usr_5966,675.86,Debit Card,Electronics,42.2,0.01,West
tx_ref_200029,usr_2937,314.43,UPI,Apparel,31.5,0.28,West
tx_ref_200030,usr_7846,470.57,UPI,Apparel,34.4,0.21,East
tx_ref_200031,usr_7629,3778.03,Credit Card,Apparel,36.0,0.24,West
tx_ref_200032,usr_8283,1379.42,Debit Card,Apparel,33.6,0.12,West
tx_ref_200033,usr_3406,2094.41,Cash,Digital Goods,45.9,0.06,North
tx_ref_200034,usr_8156,909.65,Debit Card,Electronics,40.7,0.09,East
tx_ref_200035,usr_6675,1601.83,Credit Card,Home & Kitchen,51.6,0.27,North
tx_ref_200036,usr_2568,4138.79,Credit Card,Electronics,48.8,0.18,South
tx_ref_200037,usr_5713,229.72,Cash,Electronics,33.6,0.16,South
tx_ref_200038,usr_7788,3547.69,Credit Card,Electronics,29.2,0.25,East
tx_ref_200039,usr_3573,72.3,UPI,Electronics,40.1,0.2,North
tx_ref_200040,usr_3347,2562.48,UPI,Apparel,41.8,0.14,West
tx_ref_200041,usr_3132,125.21,Cash,Electronics,29.3,0.07,North
tx_ref_200042,usr_6192,695.65,UPI,Electronics,42.0,0.17,West
tx_ref_200043,usr_8143,2821.31,Cash,Home & Kitchen,41.6,0.26,North
tx_ref_200044,usr_1750,1045.58,Cash,Apparel,49.0,0.08,West
tx_ref_200045,usr_7427,1447.0,UPI,Electronics,34.7,0.07,East
tx_ref_200046,usr_2970,372.27,Debit Card,Electronics,32.6,0.0,East
tx_ref_200047,usr_5119,404.23,UPI,Home & Kitchen,40.0,0.01,West
tx_ref_200048,usr_8604,593.3,Debit Card,Apparel,35.2,0.09,North
tx_ref_200049,usr_7228,702.73,Credit Card,Electronics,34.8,0.19,South
tx_ref_200050,usr_8813,1339.73,Debit Card,Digital Goods,45.8,0.04,South
tx_ref_200051,usr_5395,1511.52,Credit Card,Apparel,39.4,0.15,East
tx_ref_200052,usr_1849,1913.22,Cash,Digital Goods,44.6,0.04,North
tx_ref_200053,usr_1991,697.77,UPI,Apparel,33.8,0.13,West
tx_ref_200054,usr_7908,2311.8,UPI,Apparel,36.9,0.05,South
tx_ref_200055,usr_6034,1112.94,Credit Card,Apparel,30.1,0.24,West
tx_ref_200056,usr_4050,528.63,Credit Card,Digital Goods,39.8,0.09,East
tx_ref_200057,usr_6336,524.62,Credit Card,Apparel,26.8,0.25,West
tx_ref_200058,usr_2337,1389.69,UPI,Home & Kitchen,35.5,0.24,South
tx_ref_200059,usr_1689,1903.62,Credit Card,Electronics,46.9,0.07,North
