transaction_id,customer_id,amount,payment_method,product_category,customer_age,discount_rate,is_fraud
tx_syn_100000,usr_8270,2741.43,Credit Card,Electronics,35.0,0.16,False
tx_syn_100001,usr_8603,5151.65,UPI,Electronics,28.6,0.23,False
tx_syn_100002,usr_1860,185.31,UPI,Home & Kitchen,23.6,0.28,False
tx_syn_100003,usr_6390,1425.36,UPI,Home & Kitchen,24.2,0.26,False
tx_syn_100004,usr_6226,3904.88,Credit Card,Apparel,32.9,0.33,False
tx_syn_100005,usr_6191,205.0,UPI,Digital Goods,40.6,0.14,False
tx_syn_100006,usr_4772,3182.35,UPI,Digital Goods,43.3,0.07,False
tx_syn_100007,usr_4092,847.14,UPI,Digital Goods,23.6,0.19,False
tx_syn_100008,usr_6734,749.75,Debit Card,Apparel,31.6,0.04,False
tx_syn_100009,usr_7265,6876.94,Cash,Electronics,38.3,0.1,False
tx_syn_100010,usr_1466,453.59,Cash,Apparel,35.5,0.07,False
tx_syn_100011,usr_6334,2176.77,Credit Card,Home & Kitchen,40.1,0.14,False
tx_syn_100012,usr_5426,3151.1,Debit Card,Electronics,30.5,0.04,False
tx_syn_100013,usr_6578,125.7,Debit Card,Home & Kitchen,45.0,0.01,False
tx_syn_100014,usr_7231,2047.7,Credit Card,Electronics,34.2,0.23,False
tx_syn_100015,usr_4444,5499.0,Credit Card,Apparel,40.6,0.21,False
tx_syn_100016,usr_4171,288.75,UPI,Electronics,31.0,0.25,False
tx_syn_100017,usr_3919,4127.89,Cash,Home & Kitchen,34.7,0.23,False
tx_syn_100018,usr_8831,1675.97,UPI,Electronics,20.6,0.04,False
tx_syn_100019,usr_1130,1775.64,Credit Card,Home & Kitchen,27.1,0.1,False
tx_syn_100020,usr_2685,1758.54,Credit Card,Apparel,32.4,0.05,False
tx_syn_100021,usr_8476,689.02,UPI,Home & Kitchen,,0.3,False
tx_syn_100022,usr_1769,4975.66,UPI,Digital Goods,57.0,0.26,False
tx_syn_100023,usr_3391,5349.38,Credit Card,Home & Kitchen,31.0,0.07,False
tx_syn_100024,usr_6611,1816.96,UPI,Digital Goods,22.5,0.12,False
tx_syn_100025,usr_8581,2803.65,Debit Card,Electronics,48.7,0.34,False
tx_syn_100026,usr_7949,1755.35,Credit Card,Electronics,43.4,0.21,False
tx_syn_100027,usr_3433,1242.36,Credit Card,Electronics,24.4,0.28,False
tx_syn_100028,usr_6311,1996.2,Credit Card,Electronics,38.2,0.09,False
tx_syn_100029,usr_6051,1499.36,Credit Card,Home & Kitchen,41.3,0.07,False
tx_syn_100030,usr_7420,1688.0,Credit Card,Electronics,35.6,0.27,False
tx_syn_100031,usr_2184,2807.06,Credit Card,Apparel,37.0,0.24,False
